Date of occurrence,Occurrence severity,Occurrence with ship(s),Deviation,Name of ship,IMO number,Ship / craft type,Livest lost - Total,People injured - Total,Pollution
21/02/2017,Very serious,Fire/Explosion - Explosion,,NORMAND MAXIMUS,9744518,Service ship - Special purpose ship,1,4,
08/02/2017,Very serious,"Flooding/Foundering - Foundering,Capsizing/Listing - Capsizing",,SENEFAND I,9034262,Fishing vessel - Trawler - Stern,3,8,
25/01/2017,Very serious,"Loss of control - Loss of directional control,Flooding/Foundering - Foundering,Grounding/stranding - Drift",,FISKTRANS,5248255,Cargo ship - Solid Cargo - General Cargo,0,0,
19/01/2017,Very serious,Fire/Explosion - Explosion,,MANHATTAN BRIDGE,9689615,Cargo ship - Solid Cargo - Container Ship,1,1,
05/12/2016,Very serious,"Collision - With other ship,Capsizing/Listing - Capsizing,Collision - With other ship",,"TYPHOON CLIPPER,ALISON",9451771,"Inland waterway vessel - Passenger,Inland waterway vessel - Worksite craft",0,0,
09/11/2016,Very serious,"Collision - With other ship,Collision - With other ship",,"PIROQUE,SURFER 3603",9595541,"Fishing vessel,Service ship - Offshore supply ship",1,0,
20/09/2016,Very serious,"Loss of control - Loss of directional control,Capsizing/Listing - Capsizing,Flooding/Foundering - Foundering",,"CMA CGM SIMBA,DOMINGUE",9072111,"Cargo ship - Solid Cargo - Container Ship,Service ship - Tug (Towing/Pushing)",2,0,
16/08/2016,Very serious,Fire/Explosion - Fire,,ARDENT II (INS127),8420658,Fishing vessel - Trawler - Stern,0,0,
19/05/2016,Very serious,"Collision - With other ship,Collision - With other ship",,"PETUNIA SEAWAYS,PEGGOTTY",9259501,"Passenger ship - Passenger and Ro-Ro cargo,Recreational craft - Motorboat",0,0,
07/05/2016,Very serious,"Flooding/Foundering - Foundering,Capsizing/Listing - Capsizing,Collision - With other ship,Collision - With other ship",,"Lu Rong 58398,CATALINA",9299604,"Cargo ship - Solid Cargo - Bulk Carrier,Fishing vessel - Trawler - Pair",19,0,
04/02/2016,Very serious,"Collision - With other ship,Collision - With other ship",,"CAROLINE M?RSK,LU JIAO NAN YU 76003",9214903,"Cargo ship - Solid Cargo - Container Ship,Fishing vessel - Trawler - Other trawler",2,0,
18/01/2016,Very serious,Damage / loss of equipment,,GALAXY,7358755,Passenger ship - Passenger and Ro-Ro cargo - International,1,0,
14/01/2016,Very serious,"Collision - With other ship,Collision - With other ship",,"Zhe Pu Yu 42234,MINERVA PISCES",9410179,"Cargo ship - Liquid Cargo - Oil tanker - Crude oil,Fishing vessel - Trawler",5,0,
04/01/2016,Very serious,"Grounding/stranding - Drift,Flooding/Foundering - Foundering,Loss of control - Loss of propulsion power",,KIM ROGER,7626011,Fishing vessel - Seiner - Danish seiner,0,0,
23/12/2015,Very serious,Fire/Explosion - Fire,,UMOE VENTUS,9758507,Service ship - Other offshore ship,0,0,YES
12/10/2015,Very serious,"Collision - With other ship,Collision - With other ship",,"Clipper Quito,Lurongyu 71108",9630755,"Fishing vessel - Trawler - Stern,Cargo ship - Liquid Cargo - Liquified gas tanker - LPG - Type 3G",1,0,
