Date of occurrence,Occurrence severity,Occurrence with ship(s),IMO number,Ship / craft type,Livest lost - Total,People injured - Total,Pollution,Age On Casualty,Length overall,Flag State,Sea area of occurrence,Wind force,Sea state,Natural light,Visibility,Weather conditions,bad weather,Education,Inappropriate behavior,Equipment
2017,0,6,9249257,3,0,0,0,14,189,UNITED KINGDOM,Internal waters - Port area,4,3,Daylight,Good,Clear,1,,1,1
2017,0,6,9414759,3,0,0,0,7,179.9,BAHAMAS,Territorial sea,5,3,Night,Good,Clear,1,1,1,
2017,0,3,9010929,2,0,0,0,24,124.86,LATVIA,Territorial sea,2,1,Daylight,Good,Overcast,0,,1,
2017,0,6,9644251,3,0,0,0,5,159.6,MALTA,Open sea - Within EEZ,3,2,Daylight,Good,Clear,0,,1,
2017,0,1,9410777,5,0,0,0,6,363,UNITED KINGDOM,Internal waters - Port area,,,Daylight,,Clear,1,,1,
2017,0,4,9281322,1,0,0,0,13,142.5,SPAIN,Internal waters - Port area,3,2,Night,Good,,0,,,
2017,0,3,9344344,2,0,0,0,12,119.1,MALTA,Open sea - Within EEZ,3,4,Daylight,Good,Clear,0,,,1
2017,0,3,9640554,2,0,0,0,5,140.85,RUSSIAN FEDERATION,Repair yard,0,0,Daylight,Good,Clear,0,1,1,
2017,0,4,8302301,1,0,0,0,29,147.38,MALTA,Open sea - Within EEZ,4,3,Daylight,Good,Clear,1,,,1
2017,0,4,9714795,3,0,0,0,1,179.55,MARSHALL ISLANDS,Territorial sea,3,4,Night,,,1,,1,
2017,0,0,9161948,1,0,0,0,20,200.65,FRANCE,Open sea - Within EEZ,12,8,Night,Good,Clear,2,,,1
2017,0,6,9290165,5,0,0,1,13,178.57,PORTUGAL,Territorial sea,4,5,Daylight,Good,,1,,1,
2017,0,1,9312638,7,0,37,0,13,49.2,PORTUGAL,Internal waters - Port area,0,1,Daylight,Very poor,Fog,2,1,1,
2017,0,5,9476305,0,0,0,0,29,5,CROATIA,Internal waters - Port area,8,2,Night,Good,Overcast,0,,1,
2017,0,3,6332987,5,0,0,0,10,299.47,UNITED STATES,Internal waters - Port area,2,0,Daylight,Good,,0,1,,
2016,0,4,9144330,0,0,0,1,19,84.6,DENMARK,Open sea - Within EEZ,2,6,Night,Good,Overcast,0,1,1,
2016,0,3,9260055,2,0,0,0,13,176,MARSHALL ISLANDS,Territorial sea,2,1,Daylight,Moderate,Clear,0,,,1
2016,0,7,9333450,4,0,0,0,11,89.94,LIBERIA,Internal waters - Archipelago fairway,,,Night,Good,Clear,1,,1,
2016,0,3,9316646,1,0,0,0,12,63.2,SPAIN,Territorial sea,3,3,Daylight,Good,Clear,0,,,1
2016,0,2,9249996,1,0,0,0,14,141.25,SPAIN,Open sea - Outside EEZ,2,3,Night,Very poor,Fog,2,,,
2016,0,4,9188506,5,0,0,0,18,118.31,GERMANY,"Internal waters - Channel, river",2,2,Night,Good,Clear,0,,1,1
2016,0,6,9397640,4,0,0,0,8,89.9,SPAIN,Territorial sea,5,4,Night,Good,Clear,1,1,1,
2016,0,6,9386512,3,0,0,0,10,289,MALTA,Territorial sea,4,4,Daylight,Good,Clear,1,,1,
2016,0,2,9144354,4,0,0,0,9,135,HONDURAS,Territorial sea,11,6,Daylight,Good,Rain,2,1,1,
2016,0,3,8814744,7,0,0,0,24,207,MALTA,Open sea - Within EEZ,2,1,Night,Good,Clear,0,1,1,1
2016,0,3,9050547,2,0,2,0,27,38.75,ITALY,Internal waters - Port area,0,0,Daylight,Good,Clear,0,,,
2016,0,4,9402689,2,0,0,0,8,103,GIBRALTAR,Open sea - Within EEZ,2,3,Daylight,Good,Clear,0,,,1
2016,0,6,9279018,4,0,0,0,12,82.5,ANTIGUA AND BARBUDA,Inland waters - Lake,3,,Twilight,Very good,Clear,0,,,1
2016,0,4,9510589,2,0,0,0,7,117.6,GIBRALTAR,Territorial sea,3,3,Twilight,Moderate,Clear,1,,,1
2016,0,6,7928847,6,0,0,0,21,47,FRANCE,Territorial sea,5,3,Night,Moderate,Fog,2,,1,
2016,0,3,7907661,1,0,0,0,28,175.39,BAHAMAS,Internal waters - Port area,5,3,Daylight,Very good,Clear,0,1,,1
2016,0,2,9358046,6,0,0,0,16,25,SPAIN,Open sea - Within EEZ,4,3,Night,Good,,1,1,1,
2016,0,3,9327504,2,0,0,0,10,129,GIBRALTAR,Internal waters - Port area,2,2,Daylight,Good,Clear,0,,,
2016,0,6,9526083,4,0,0,0,5,118.14,NETHERLANDS,Internal waters - Port area,0,0,Daylight,Good,Clear,0,1,1,
2016,0,0,9429223,5,0,1,0,4,157.7,MALTA,Open sea - Within EEZ,3,2,Daylight,Good,Clear,0,,,1
2016,0,6,8807088,7,0,0,0,26,208,MALTA,Internal waters - Port area,4,2,Daylight,Good,Overcast,0,1,1,
2016,0,6,8633712,7,0,0,0,56,46.45,UNITED KINGDOM,Internal waters - Port area,6,4,Daylight,Good,Clear,1,1,,1
2016,0,1,8100777,4,0,0,0,34,100.2,PANAMA,Internal waters - Port area,1,1,Daylight,Very good,Clear,0,1,,
2016,0,6,9006344,4,0,0,0,22,87.86,SAINT VINCENT AND THE GRENADINES,Internal waters - Port area,2,1,Night,Good,Clear,0,1,1,
2016,0,3,9006253,1,0,2,0,24,161,FRANCE,Territorial sea,,,,,,1,,,1
2016,0,0,9638159,3,0,1,0,2,179.99,MALTA,Internal waters - Port area,5,4,Night,Good,Overcast,1,1,,1
2016,0,2,9180358,3,0,0,0,28,12,SPAIN,Territorial sea,3,3,Daylight,Good,Clear,0,1,1,
2016,0,3,9431886,2,0,2,0,8,131.85,MALTA,Open sea - Within EEZ,3,2,Daylight,Good,Clear,0,1,,1
2016,0,4,9695157,5,0,0,0,1,399.67,CHINA (HONG KONG S.A.R),"Internal waters - Channel, river",4,3,Night,Moderate,Overcast,1,,,1
2016,0,1,9138757,4,0,2,0,20,78.25,GERMANY,"Internal waters - Channel, river",5,0,Twilight,Good,Clear,0,1,1,1
2015,0,3,9312729,4,0,0,1,9,106.15,ANTIGUA AND BARBUDA,Internal waters - Port area,6,,Daylight,Good,Clear,1,,,
2015,0,6,9358034,4,0,0,1,8,138.93,GERMANY,"Internal waters - Channel, river",4,2,Daylight,Good,Clear,0,1,1,
2015,0,3,9467445,5,0,0,0,3,365.74,PANAMA,"Internal waters - Channel, river",5,4,Twilight,Very good,Clear,0,,,1
2015,0,4,9502506,7,0,0,0,6,142.1,FRANCE,Territorial sea,9,6,Night,,,2,,,1
2015,0,3,8607165,6,0,0,1,27,120.47,RUSSIAN FEDERATION,Internal waters - Port area,2,0,Night,Good,,0,,,1
2015,0,3,9372274,5,0,0,0,6,168.11,LIBERIA,Territorial sea,3,,Daylight,Good,Clear,0,,,1
2015,0,0,8512281,7,0,1,0,28,268.33,MALTA,Internal waters - Port area,2,1,Daylight,Good,Clear,0,1,1,
